subject,cond,RT
p015,surprising,0.48349206349206353
p015,unpredictable,0.49998550724637686
p015,predictable,0.4525268817204301
p016,surprising,0.5077096774193549
p016,unpredictable,0.47223931623931625
p016,predictable,0.46587951807228917
p017,surprising,0.4733064516129032
p017,unpredictable,0.4662608695652174
p017,predictable,0.4590408163265306
p018,surprising,0.4966567164179105
p018,unpredictable,0.5058666666666667
p018,predictable,0.47573076923076923
p020,surprising,0.5253275862068966
p020,unpredictable,0.555025
p020,predictable,0.5055820895522388
p021,surprising,0.5056111111111111
p021,unpredictable,0.5160952380952382
p021,predictable,0.48923863636363635
p022,surprising,0.5395492957746478
p022,unpredictable,0.5388805970149253
p022,predictable,0.5157999999999999
p023,surprising,0.5513174603174604
p023,unpredictable,0.590816091954023
p023,predictable,0.5212051282051282
p024,surprising,0.5402777777777777
p024,unpredictable,0.49433333333333335
p024,predictable,0.49775824175824174
p025,surprising,0.4966621621621622
p025,unpredictable,0.49561052631578945
p025,predictable,0.46670731707317076
p026,surprising,0.5552037037037038
p026,unpredictable,0.5984375
p026,predictable,0.5761875
p027,surprising,0.5312666666666667
p027,unpredictable,0.5467397260273973
p027,predictable,0.5000412371134021
p028,surprising,0.5133857142857142
p028,unpredictable,0.5371428571428571
p028,predictable,0.5113723404255319
p029,surprising,0.5443623188405797
p029,unpredictable,0.5416103896103897
p029,predictable,0.5497368421052632
p031,surprising,0.5855862068965517
p031,unpredictable,0.5739696969696969
p031,predictable,0.6032837837837838
p032,surprising,0.5547763157894736
p032,unpredictable,0.5622674418604651
p032,predictable,0.5775054945054945
p033,surprising,0.5573970588235294
p033,unpredictable,0.5274065934065933
p033,predictable,0.5591645569620253
p034,surprising,0.5461011235955057
p034,unpredictable,0.5475384615384615
p034,predictable,0.5351518987341772
p035,surprising,0.5053218390804598
p035,unpredictable,0.5564810126582279
p035,predictable,0.5277272727272727
p036,surprising,0.5542121212121213
p036,unpredictable,0.5712268041237113
p036,predictable,0.5404666666666667
p037,surprising,0.5242571428571429
p037,unpredictable,0.5161827956989248
p037,predictable,0.504008547008547
p038,surprising,0.5276951219512195
p038,unpredictable,0.47953932584269665
p038,predictable,0.4912560975609756
p039,surprising,0.5143246753246753
p039,unpredictable,0.5288783783783784
p039,predictable,0.5185952380952381
p040,surprising,0.5754057971014493
p040,unpredictable,0.5516
p040,predictable,0.5537733333333333
p041,surprising,0.5213181818181819
p041,unpredictable,0.5013625
p041,predictable,0.4902584269662922
p042,surprising,0.4899156626506024
p042,unpredictable,0.5000681818181818
p042,predictable,0.479
p043,surprising,0.5316962025316455
p043,unpredictable,0.5242
p043,predictable,0.5314146341463415
p044,surprising,0.5510746268656715
p044,unpredictable,0.5464096385542169
p044,predictable,0.541896551724138
p045,surprising,0.5620285714285714
p045,unpredictable,0.549
p045,predictable,0.5256224489795919
p047,surprising,0.5059375
p047,unpredictable,0.5116823529411765
p047,predictable,0.5304268292682927
p048,surprising,0.5384555555555556
p048,unpredictable,0.57298
p048,predictable,0.5591123595505618
p049,surprising,0.5377375
p049,unpredictable,0.5357142857142857
p049,predictable,0.4944712643678161
p050,surprising,0.5908571428571429
p050,unpredictable,0.5631772151898734
p050,predictable,0.5701746031746031
p052,surprising,0.539536231884058
p052,unpredictable,0.5288045977011494
p052,predictable,0.5237590361445783
p053,surprising,0.5159154929577465
p053,unpredictable,0.48698717948717946
p053,predictable,0.5122368421052631
p054,surprising,0.47535
p054,unpredictable,0.4875049504950495
p054,predictable,0.44144545454545453
p055,surprising,0.5843333333333334
p055,unpredictable,0.58996
p055,predictable,0.6078356164383562
p056,surprising,0.5535757575757576
p056,unpredictable,0.5291511627906976
p056,predictable,0.5519999999999999
p057,surprising,0.5763734939759037
p057,unpredictable,0.5746853932584269
p057,predictable,0.5920879120879121
p058,surprising,0.5773787878787878
p058,unpredictable,0.5623555555555556
p058,predictable,0.6112545454545455
p059,surprising,0.5233246753246753
p059,unpredictable,0.5111098901098902
p059,predictable,0.5161392405063291
